Timestamp,ENSEM_ENSAIA/Centrale mesure générale-intensité moyenne (A)
7 févr. 2024 08:37:11 CET,"76,6"
7 févr. 2024 08:37:26 CET,"75,0"
7 févr. 2024 08:37:41 CET,"74,8"
7 févr. 2024 08:37:56 CET,"77,2"
7 févr. 2024 08:38:11 CET,"79,5"
7 févr. 2024 08:38:26 CET,"79,1"
7 févr. 2024 08:38:43 CET,"79,9"
7 févr. 2024 08:38:58 CET,"80,2"
7 févr. 2024 08:39:13 CET,"81,1"
7 févr. 2024 08:39:29 CET,"75,5"
7 févr. 2024 08:39:44 CET,"75,4"
7 févr. 2024 08:39:59 CET,"74,8"
7 févr. 2024 08:40:14 CET,"75,6"
7 févr. 2024 08:40:29 CET,"73,9"
7 févr. 2024 08:40:59 CET,"73,4"
7 févr. 2024 08:41:14 CET,"74,2"
7 févr. 2024 08:41:29 CET,"73,2"
7 févr. 2024 08:41:44 CET,"74,2"
7 févr. 2024 08:41:59 CET,"73,5"
7 févr. 2024 08:42:14 CET,"73,8"
7 févr. 2024 08:42:29 CET,"73,4"
7 févr. 2024 08:42:44 CET,"79,8"
7 févr. 2024 08:43:00 CET,"81,3"
7 févr. 2024 08:43:15 CET,"80,7"
7 févr. 2024 08:43:30 CET,"80,5"
7 févr. 2024 08:43:45 CET,"79,9"
7 févr. 2024 08:44:00 CET,"80,1"
7 févr. 2024 08:44:15 CET,"79,9"
7 févr. 2024 08:44:30 CET,"80,6"
7 févr. 2024 08:44:45 CET,"84,3"
7 févr. 2024 08:45:16 CET,"83,3"
7 févr. 2024 08:45:30 CET,"84,2"
7 févr. 2024 08:45:45 CET,"85,5"
7 févr. 2024 08:46:00 CET,"84,4"
7 févr. 2024 08:46:16 CET,"79,7"
7 févr. 2024 08:46:31 CET,"80,4"
7 févr. 2024 08:46:46 CET,"79,8"
7 févr. 2024 08:47:02 CET,"80,4"
7 févr. 2024 08:47:16 CET,"79,2"
7 févr. 2024 08:47:31 CET,"79,4"
7 févr. 2024 08:47:46 CET,"77,9"
7 févr. 2024 08:48:01 CET,"78,2"
7 févr. 2024 08:48:16 CET,"79,0"
7 févr. 2024 08:48:31 CET,"78,8"
7 févr. 2024 08:48:46 CET,"79,0"
7 févr. 2024 08:49:01 CET,"78,0"
7 févr. 2024 08:49:17 CET,"78,6"
7 févr. 2024 08:49:32 CET,"79,3"
7 févr. 2024 08:49:47 CET,"79,1"
7 févr. 2024 08:50:02 CET,"80,6"
7 févr. 2024 08:50:17 CET,"79,8"
7 févr. 2024 08:50:32 CET,"80,9"
7 févr. 2024 08:50:47 CET,"80,1"
7 févr. 2024 08:51:02 CET,"80,2"
7 févr. 2024 08:51:17 CET,"80,1"
7 févr. 2024 08:51:32 CET,"85,8"
7 févr. 2024 08:51:47 CET,"84,3"
7 févr. 2024 08:52:02 CET,"85,2"
7 févr. 2024 08:52:48 CET,"83,3"
7 févr. 2024 08:53:03 CET,"79,6"
7 févr. 2024 08:53:18 CET,"80,0"
7 févr. 2024 08:53:33 CET,"80,5"
7 févr. 2024 08:53:48 CET,"80,0"
7 févr. 2024 08:54:03 CET,"80,5"
7 févr. 2024 08:54:18 CET,"79,0"
7 févr. 2024 08:54:33 CET,"80,3"
7 févr. 2024 08:54:48 CET,"78,8"
7 févr. 2024 08:55:18 CET,"78,6"
7 févr. 2024 08:55:33 CET,"79,6"
7 févr. 2024 08:55:49 CET,"79,2"
7 févr. 2024 08:56:04 CET,"78,9"
7 févr. 2024 08:56:19 CET,"79,0"
7 févr. 2024 08:56:34 CET,"80,3"
7 févr. 2024 08:56:49 CET,"80,2"
7 févr. 2024 08:57:05 CET,"80,7"
7 févr. 2024 08:57:20 CET,"80,5"
7 févr. 2024 08:57:35 CET,"81,3"
7 févr. 2024 08:57:52 CET,"80,4"
7 févr. 2024 08:58:06 CET,"84,1"
7 févr. 2024 08:58:36 CET,"84,4"
7 févr. 2024 08:58:53 CET,"85,0"
7 févr. 2024 08:59:08 CET,"84,7"
7 févr. 2024 08:59:23 CET,"81,1"
7 févr. 2024 08:59:53 CET,"80,7"
7 févr. 2024 09:00:08 CET,"80,2"
7 févr. 2024 09:00:23 CET,"81,4"
7 févr. 2024 09:01:08 CET,"81,7"
7 févr. 2024 09:01:23 CET,"80,6"
7 févr. 2024 09:01:38 CET,"80,7"
7 févr. 2024 09:01:53 CET,"81,1"
7 févr. 2024 09:02:08 CET,"80,7"
7 févr. 2024 09:02:38 CET,"80,4"
7 févr. 2024 09:02:54 CET,"80,7"
7 févr. 2024 09:03:09 CET,"81,1"
7 févr. 2024 09:03:24 CET,"82,0"
7 févr. 2024 09:03:39 CET,"80,6"
7 févr. 2024 09:03:54 CET,"80,3"
7 févr. 2024 09:04:09 CET,"80,7"
7 févr. 2024 09:04:24 CET,"81,7"
7 févr. 2024 09:04:39 CET,"82,8"
7 févr. 2024 09:05:09 CET,"81,9"
7 févr. 2024 09:05:24 CET,"82,4"
7 févr. 2024 09:05:39 CET,"82,1"
7 févr. 2024 09:05:54 CET,"82,8"
7 févr. 2024 09:06:09 CET,"78,1"
7 févr. 2024 09:06:24 CET,"79,1"
7 févr. 2024 09:06:40 CET,"77,5"
7 févr. 2024 09:06:55 CET,"78,4"
7 févr. 2024 09:07:10 CET,"78,1"
7 févr. 2024 09:07:55 CET,"78,9"
7 févr. 2024 09:08:10 CET,"79,6"
7 févr. 2024 09:08:25 CET,"79,2"
7 févr. 2024 09:08:40 CET,"78,5"
7 févr. 2024 09:08:55 CET,"78,3"
7 févr. 2024 09:09:10 CET,"78,9"
7 févr. 2024 09:09:25 CET,"80,6"
7 févr. 2024 09:09:40 CET,"79,1"
7 févr. 2024 09:09:55 CET,"78,9"
7 févr. 2024 09:10:10 CET,"78,6"
7 févr. 2024 09:10:41 CET,"79,0"
7 févr. 2024 09:11:11 CET,"79,7"
7 févr. 2024 09:11:26 CET,"82,9"
7 févr. 2024 09:11:41 CET,"83,6"
7 févr. 2024 09:11:56 CET,"84,0"
7 févr. 2024 09:12:11 CET,"84,5"
7 févr. 2024 09:12:41 CET,"83,4"
7 févr. 2024 09:12:56 CET,"79,4"
7 févr. 2024 09:13:11 CET,"80,3"
7 févr. 2024 09:13:26 CET,"77,5"
7 févr. 2024 09:13:41 CET,"77,4"
7 févr. 2024 09:13:57 CET,"69,8"
7 févr. 2024 09:14:12 CET,"69,9"
7 févr. 2024 09:14:27 CET,"73,6"
7 févr. 2024 09:14:42 CET,"73,2"
7 févr. 2024 09:14:57 CET,"72,6"
7 févr. 2024 09:15:15 CET,"72,9"
7 févr. 2024 09:15:27 CET,"73,2"
7 févr. 2024 09:15:42 CET,"73,3"
7 févr. 2024 09:16:12 CET,"73,9"
7 févr. 2024 09:16:27 CET,"72,8"
7 févr. 2024 09:16:43 CET,"73,5"
7 févr. 2024 09:16:58 CET,"73,7"
7 févr. 2024 09:17:13 CET,"74,4"
7 févr. 2024 09:17:28 CET,"73,9"
7 févr. 2024 09:17:43 CET,"73,5"
7 févr. 2024 09:17:58 CET,"73,4"
7 févr. 2024 09:18:13 CET,"78,7"
7 févr. 2024 09:18:28 CET,"78,1"
7 févr. 2024 09:18:43 CET,"77,5"
7 févr. 2024 09:18:58 CET,"77,1"
7 févr. 2024 09:19:13 CET,"77,9"
7 févr. 2024 09:19:28 CET,"78,2"
7 févr. 2024 09:19:43 CET,"73,9"
7 févr. 2024 09:19:59 CET,"73,0"
7 févr. 2024 09:20:14 CET,"72,4"
7 févr. 2024 09:20:59 CET,"72,2"
7 févr. 2024 09:21:14 CET,"73,3"
7 févr. 2024 09:21:29 CET,"73,2"
7 févr. 2024 09:21:44 CET,"76,8"
7 févr. 2024 09:21:59 CET,"76,6"
7 févr. 2024 09:22:14 CET,"79,2"
7 févr. 2024 09:22:29 CET,"78,4"
7 févr. 2024 09:22:44 CET,"81,5"
7 févr. 2024 09:22:59 CET,"77,9"
7 févr. 2024 09:23:14 CET,"79,4"
7 févr. 2024 09:23:29 CET,"79,8"
7 févr. 2024 09:23:45 CET,"79,0"
7 févr. 2024 09:24:00 CET,"79,3"
7 févr. 2024 09:24:15 CET,"81,1"
7 févr. 2024 09:24:30 CET,"80,2"
7 févr. 2024 09:24:45 CET,"83,9"
7 févr. 2024 09:25:00 CET,"83,6"
7 févr. 2024 09:25:15 CET,"84,7"
7 févr. 2024 09:25:30 CET,"87,1"
7 févr. 2024 09:26:00 CET,"86,4"
7 févr. 2024 09:26:15 CET,"81,6"
7 févr. 2024 09:26:30 CET,"80,0"
7 févr. 2024 09:26:45 CET,"80,9"
7 févr. 2024 09:27:00 CET,"78,4"
7 févr. 2024 09:27:16 CET,"79,2"
7 févr. 2024 09:27:46 CET,"72,8"
7 févr. 2024 09:28:01 CET,"72,6"
7 févr. 2024 09:28:16 CET,"74,2"
7 févr. 2024 09:28:31 CET,"73,6"
7 févr. 2024 09:28:46 CET,"72,5"
7 févr. 2024 09:29:16 CET,"73,1"
7 févr. 2024 09:29:31 CET,"73,9"
7 févr. 2024 09:29:46 CET,"72,3"
7 févr. 2024 09:30:16 CET,"78,4"
7 févr. 2024 09:30:32 CET,"76,6"
7 févr. 2024 09:30:47 CET,"73,7"
7 févr. 2024 09:31:02 CET,"79,3"
7 févr. 2024 09:31:17 CET,"82,7"
7 févr. 2024 09:31:32 CET,"89,5"
7 févr. 2024 09:31:47 CET,"88,0"
7 févr. 2024 09:32:02 CET,"88,5"
7 févr. 2024 09:32:17 CET,"90,0"
7 févr. 2024 09:32:32 CET,"89,6"
7 févr. 2024 09:32:47 CET,"87,1"
7 févr. 2024 09:33:02 CET,"85,7"
7 févr. 2024 09:33:17 CET,"87,8"
7 févr. 2024 09:33:32 CET,"87,1"
7 févr. 2024 09:33:48 CET,"82,1"
7 févr. 2024 09:34:03 CET,"86,3"
7 févr. 2024 09:34:18 CET,"86,0"
7 févr. 2024 09:34:33 CET,"88,5"
7 févr. 2024 09:34:48 CET,"81,5"
7 févr. 2024 09:35:03 CET,"87,5"
7 févr. 2024 09:35:18 CET,"89,1"
7 févr. 2024 09:35:48 CET,"83,2"
7 févr. 2024 09:36:03 CET,"85,1"
7 févr. 2024 09:36:18 CET,"88,6"
7 févr. 2024 09:36:33 CET,"87,0"
7 févr. 2024 09:36:48 CET,"87,4"
7 févr. 2024 09:37:03 CET,"88,9"
7 févr. 2024 09:37:18 CET,"89,4"
7 févr. 2024 09:37:33 CET,"88,6"
7 févr. 2024 09:37:49 CET,"87,4"
7 févr. 2024 09:38:04 CET,"91,1"
7 févr. 2024 09:38:19 CET,"92,8"
7 févr. 2024 09:38:34 CET,"91,3"
7 févr. 2024 09:38:49 CET,"93,3"
7 févr. 2024 09:39:04 CET,"92,6"
7 févr. 2024 09:39:19 CET,"91,9"
7 févr. 2024 09:39:34 CET,"87,7"
7 févr. 2024 09:40:04 CET,"86,3"
7 févr. 2024 09:40:19 CET,"87,0"
7 févr. 2024 09:40:34 CET,"87,2"
7 févr. 2024 09:40:49 CET,"87,3"
7 févr. 2024 09:41:04 CET,"85,5"
7 févr. 2024 09:41:19 CET,"86,5"
7 févr. 2024 09:41:35 CET,"87,0"
7 févr. 2024 09:41:50 CET,"88,7"
7 févr. 2024 09:42:05 CET,"85,2"
7 févr. 2024 09:42:20 CET,"85,7"
7 févr. 2024 09:42:35 CET,"86,3"
7 févr. 2024 09:42:50 CET,"88,4"
7 févr. 2024 09:43:05 CET,"88,6"
7 févr. 2024 09:43:20 CET,"87,7"
7 févr. 2024 09:43:35 CET,"86,2"
7 févr. 2024 09:43:50 CET,"91,1"
7 févr. 2024 09:44:05 CET,"93,4"
7 févr. 2024 09:44:20 CET,"91,7"
7 févr. 2024 09:44:35 CET,"97,1"
7 févr. 2024 09:44:50 CET,"95,0"
7 févr. 2024 09:45:17 CET,"94,5"
7 févr. 2024 09:45:21 CET,"92,8"
7 févr. 2024 09:45:36 CET,"94,5"
7 févr. 2024 09:45:51 CET,"96,4"
7 févr. 2024 09:46:06 CET,"90,0"
7 févr. 2024 09:46:21 CET,"86,6"
7 févr. 2024 09:46:36 CET,"85,6"
7 févr. 2024 09:46:51 CET,"84,8"
7 févr. 2024 09:47:06 CET,"81,6"
7 févr. 2024 09:47:21 CET,"87,0"
7 févr. 2024 09:47:36 CET,"86,0"
7 févr. 2024 09:47:51 CET,"87,9"
7 févr. 2024 09:48:07 CET,"87,2"
7 févr. 2024 09:48:22 CET,"86,0"
7 févr. 2024 09:48:37 CET,"82,7"
7 févr. 2024 09:48:52 CET,"82,2"
7 févr. 2024 09:49:07 CET,"81,7"
7 févr. 2024 09:49:22 CET,"83,3"
7 févr. 2024 09:49:52 CET,"83,7"
7 févr. 2024 09:50:07 CET,"84,2"
7 févr. 2024 09:50:22 CET,"82,6"
7 févr. 2024 09:50:37 CET,"84,2"
7 févr. 2024 09:50:52 CET,"85,9"
7 févr. 2024 09:51:07 CET,"90,0"
7 févr. 2024 09:51:22 CET,"88,5"
7 févr. 2024 09:51:38 CET,"90,6"
7 févr. 2024 09:51:53 CET,"89,6"
7 févr. 2024 09:52:08 CET,"89,3"
7 févr. 2024 09:52:23 CET,"89,5"
7 févr. 2024 09:52:38 CET,"85,5"
7 févr. 2024 09:52:53 CET,"89,1"
7 févr. 2024 09:53:08 CET,"86,1"
7 févr. 2024 09:53:23 CET,"84,0"
7 févr. 2024 09:53:38 CET,"84,9"
7 févr. 2024 09:53:53 CET,"86,5"
7 févr. 2024 09:54:08 CET,"86,1"
7 févr. 2024 09:54:23 CET,"83,7"
7 févr. 2024 09:54:38 CET,"87,2"
7 févr. 2024 09:54:53 CET,"85,8"
7 févr. 2024 09:55:08 CET,"85,6"
7 févr. 2024 09:55:23 CET,"82,6"
7 févr. 2024 09:55:39 CET,"85,1"
7 févr. 2024 09:55:54 CET,"85,7"
7 févr. 2024 09:56:09 CET,"86,4"
7 févr. 2024 09:56:24 CET,"81,5"
7 févr. 2024 09:56:39 CET,"88,9"
7 févr. 2024 09:56:55 CET,"81,7"
7 févr. 2024 09:57:10 CET,"86,2"
7 févr. 2024 09:57:25 CET,"84,6"
7 févr. 2024 09:57:40 CET,"85,4"
7 févr. 2024 09:57:55 CET,"82,0"
7 févr. 2024 09:58:10 CET,"88,9"
7 févr. 2024 09:58:25 CET,"93,8"
7 févr. 2024 09:58:40 CET,"95,2"
7 févr. 2024 09:58:55 CET,"88,1"
7 févr. 2024 09:59:10 CET,"91,0"
7 févr. 2024 09:59:25 CET,"93,4"
7 févr. 2024 09:59:41 CET,"92,3"
7 févr. 2024 09:59:56 CET,"83,9"
7 févr. 2024 10:00:17 CET,"83,3"
7 févr. 2024 10:00:26 CET,"79,5"
7 févr. 2024 10:00:56 CET,"81,1"
7 févr. 2024 10:01:11 CET,"82,6"
7 févr. 2024 10:01:26 CET,"81,9"
7 févr. 2024 10:02:11 CET,"78,2"
7 févr. 2024 10:02:27 CET,"81,2"
7 févr. 2024 10:02:42 CET,"80,9"
7 févr. 2024 10:02:57 CET,"85,4"
7 févr. 2024 10:03:12 CET,"83,8"
7 févr. 2024 10:03:27 CET,"82,4"
7 févr. 2024 10:03:42 CET,"83,4"
7 févr. 2024 10:03:57 CET,"85,9"
7 févr. 2024 10:04:12 CET,"84,9"
7 févr. 2024 10:04:27 CET,"80,0"
7 févr. 2024 10:04:42 CET,"74,1"
7 févr. 2024 10:04:57 CET,"80,2"
7 févr. 2024 10:05:12 CET,"83,7"
7 févr. 2024 10:05:28 CET,"84,2"
7 févr. 2024 10:05:43 CET,"99,6"
7 févr. 2024 10:05:58 CET,"89,8"
7 févr. 2024 10:06:13 CET,"90,1"
7 févr. 2024 10:06:28 CET,"86,2"
7 févr. 2024 10:06:43 CET,"81,3"
7 févr. 2024 10:06:58 CET,"84,4"
7 févr. 2024 10:07:13 CET,"80,0"
7 févr. 2024 10:07:43 CET,"76,4"
7 févr. 2024 10:07:58 CET,"76,8"
7 févr. 2024 10:08:13 CET,"93,0"
7 févr. 2024 10:08:28 CET,"85,6"
7 févr. 2024 10:08:43 CET,"82,4"
7 févr. 2024 10:08:58 CET,"82,5"
7 févr. 2024 10:09:14 CET,"88,7"
7 févr. 2024 10:09:29 CET,"90,1"
7 févr. 2024 10:09:44 CET,"85,7"
7 févr. 2024 10:09:59 CET,"81,5"
7 févr. 2024 10:10:14 CET,"83,7"
7 févr. 2024 10:10:29 CET,"87,1"
7 févr. 2024 10:10:44 CET,"86,0"
7 févr. 2024 10:10:59 CET,"82,2"
7 févr. 2024 10:11:14 CET,"80,3"
7 févr. 2024 10:11:29 CET,"90,7"
7 févr. 2024 10:11:44 CET,"90,4"
7 févr. 2024 10:11:59 CET,"86,5"
7 févr. 2024 10:12:14 CET,"91,5"
7 févr. 2024 10:12:29 CET,"88,7"
7 févr. 2024 10:12:44 CET,"84,0"
7 févr. 2024 10:13:00 CET,"84,6"
7 févr. 2024 10:13:15 CET,"81,2"
7 févr. 2024 10:13:30 CET,"79,7"
7 févr. 2024 10:13:45 CET,"79,9"
7 févr. 2024 10:14:00 CET,"79,7"
7 févr. 2024 10:14:15 CET,"89,1"
7 févr. 2024 10:14:30 CET,"81,5"
7 févr. 2024 10:14:45 CET,"86,2"
7 févr. 2024 10:15:16 CET,"82,2"
7 févr. 2024 10:15:30 CET,"81,7"
7 févr. 2024 10:15:45 CET,"81,5"
7 févr. 2024 10:16:00 CET,"81,7"
7 févr. 2024 10:16:16 CET,"81,1"
7 févr. 2024 10:16:31 CET,"77,3"
7 févr. 2024 10:16:46 CET,"80,0"
7 févr. 2024 10:17:01 CET,"85,1"
7 févr. 2024 10:17:16 CET,"87,2"
7 févr. 2024 10:17:31 CET,"83,4"
7 févr. 2024 10:17:46 CET,"81,6"
7 févr. 2024 10:18:01 CET,"80,8"
7 févr. 2024 10:18:16 CET,"82,4"
7 févr. 2024 10:18:31 CET,"79,1"
7 févr. 2024 10:18:46 CET,"76,7"
7 févr. 2024 10:19:01 CET,"87,7"
7 févr. 2024 10:19:16 CET,"89,7"
7 févr. 2024 10:19:31 CET,"89,1"
7 févr. 2024 10:19:47 CET,"85,5"
7 févr. 2024 10:20:02 CET,"82,5"
7 févr. 2024 10:20:17 CET,"83,5"
7 févr. 2024 10:20:32 CET,"79,1"
7 févr. 2024 10:20:47 CET,"76,9"
7 févr. 2024 10:21:02 CET,"74,6"
7 févr. 2024 10:21:17 CET,"82,9"
7 févr. 2024 10:21:32 CET,"86,2"
7 févr. 2024 10:21:47 CET,"82,4"
7 févr. 2024 10:22:02 CET,"79,5"
7 févr. 2024 10:22:17 CET,"83,3"
7 févr. 2024 10:22:32 CET,"80,2"
7 févr. 2024 10:22:47 CET,"76,3"
7 févr. 2024 10:23:02 CET,"73,5"
7 févr. 2024 10:23:17 CET,"79,5"
7 févr. 2024 10:23:32 CET,"77,9"
7 févr. 2024 10:23:48 CET,"80,4"
7 févr. 2024 10:24:03 CET,"75,0"
7 févr. 2024 10:24:18 CET,"72,8"
7 févr. 2024 10:24:33 CET,"77,5"
7 févr. 2024 10:24:48 CET,"79,8"
7 févr. 2024 10:25:03 CET,"75,4"
7 févr. 2024 10:25:18 CET,"73,9"
7 févr. 2024 10:25:33 CET,"76,1"
7 févr. 2024 10:25:48 CET,"82,7"
7 févr. 2024 10:26:03 CET,"85,1"
7 févr. 2024 10:26:18 CET,"82,8"
7 févr. 2024 10:26:33 CET,"86,7"
7 févr. 2024 10:26:48 CET,"85,5"
7 févr. 2024 10:27:03 CET,"84,4"
7 févr. 2024 10:27:18 CET,"82,3"
7 févr. 2024 10:27:34 CET,"79,3"
7 févr. 2024 10:27:49 CET,"85,3"
7 févr. 2024 10:28:04 CET,"84,7"
7 févr. 2024 10:28:19 CET,"79,9"
7 févr. 2024 10:28:34 CET,"77,0"
7 févr. 2024 10:28:49 CET,"80,2"
7 févr. 2024 10:29:04 CET,"81,6"
7 févr. 2024 10:29:19 CET,"80,7"
7 févr. 2024 10:29:34 CET,"76,9"
7 févr. 2024 10:29:49 CET,"96,1"
7 févr. 2024 10:30:16 CET,"87,4"
7 févr. 2024 10:30:19 CET,"87,1"
7 févr. 2024 10:30:35 CET,"79,5"
7 févr. 2024 10:30:50 CET,"77,2"
7 févr. 2024 10:31:05 CET,"81,4"
7 févr. 2024 10:31:20 CET,"82,9"
7 févr. 2024 10:31:35 CET,"79,5"
7 févr. 2024 10:31:50 CET,"77,2"
7 févr. 2024 10:32:05 CET,"85,6"
7 févr. 2024 10:32:20 CET,"86,2"
7 févr. 2024 10:32:35 CET,"82,3"
7 févr. 2024 10:32:50 CET,"79,2"
7 févr. 2024 10:33:05 CET,"83,2"
7 févr. 2024 10:33:20 CET,"80,6"
7 févr. 2024 10:33:35 CET,"82,1"
7 févr. 2024 10:33:50 CET,"79,7"
7 févr. 2024 10:34:06 CET,"76,7"
7 févr. 2024 10:34:21 CET,"76,2"
7 févr. 2024 10:34:36 CET,"81,7"
7 févr. 2024 10:34:51 CET,"79,0"
7 févr. 2024 10:35:06 CET,"75,8"
7 févr. 2024 10:35:21 CET,"80,2"
7 févr. 2024 10:35:36 CET,"87,9"
7 févr. 2024 10:35:51 CET,"87,2"
7 févr. 2024 10:36:06 CET,"82,7"
7 févr. 2024 10:36:21 CET,"83,8"
7 févr. 2024 10:36:36 CET,"87,2"
7 févr. 2024 10:36:51 CET,"81,7"
7 févr. 2024 10:37:06 CET,"78,9"
7 févr. 2024 10:37:21 CET,"76,5"
7 févr. 2024 10:37:36 CET,"80,3"
7 févr. 2024 10:37:51 CET,"83,7"
7 févr. 2024 10:38:07 CET,"81,0"
7 févr. 2024 10:38:22 CET,"81,5"
7 févr. 2024 10:38:37 CET,"85,7"
7 févr. 2024 10:38:52 CET,"88,2"
7 févr. 2024 10:39:07 CET,"84,4"
7 févr. 2024 10:39:22 CET,"81,5"
7 févr. 2024 10:39:37 CET,"83,4"
7 févr. 2024 10:39:52 CET,"83,6"
7 févr. 2024 10:40:07 CET,"80,6"
7 févr. 2024 10:40:22 CET,"82,4"
7 févr. 2024 10:40:37 CET,"79,4"
7 févr. 2024 10:40:52 CET,"78,6"
7 févr. 2024 10:41:07 CET,"83,1"
7 févr. 2024 10:41:22 CET,"82,0"
7 févr. 2024 10:41:37 CET,"81,0"
7 févr. 2024 10:41:52 CET,"89,9"
7 févr. 2024 10:42:08 CET,"93,9"
7 févr. 2024 10:42:23 CET,"86,2"
7 févr. 2024 10:42:38 CET,"83,6"
7 févr. 2024 10:42:53 CET,"85,1"
7 févr. 2024 10:43:08 CET,"85,9"
7 févr. 2024 10:43:23 CET,"87,5"
7 févr. 2024 10:43:38 CET,"85,5"
7 févr. 2024 10:43:53 CET,"88,6"
7 févr. 2024 10:44:08 CET,"90,1"
7 févr. 2024 10:44:23 CET,"89,2"
7 févr. 2024 10:44:38 CET,"93,3"
7 févr. 2024 10:44:53 CET,"88,5"
7 févr. 2024 10:45:16 CET,"90,8"
7 févr. 2024 10:45:24 CET,"99,6"
7 févr. 2024 10:45:39 CET,"101,3"
7 févr. 2024 10:45:54 CET,"92,2"
7 févr. 2024 10:46:09 CET,"98,7"
7 févr. 2024 10:46:24 CET,"103,2"
7 févr. 2024 10:46:39 CET,"102,7"
7 févr. 2024 10:46:54 CET,"96,0"
7 févr. 2024 10:47:09 CET,"95,0"
7 févr. 2024 10:47:24 CET,"98,8"
7 févr. 2024 10:47:39 CET,"99,7"
7 févr. 2024 10:47:54 CET,"93,1"
7 févr. 2024 10:48:09 CET,"92,1"
7 févr. 2024 10:48:24 CET,"96,5"
7 févr. 2024 10:48:40 CET,"101,5"
7 févr. 2024 10:48:55 CET,"95,9"
7 févr. 2024 10:49:10 CET,"91,3"
7 févr. 2024 10:49:25 CET,"92,6"
7 févr. 2024 10:49:40 CET,"97,6"
7 févr. 2024 10:49:55 CET,"101,5"
