Timestamp,ENSEM_ENSAIA/Centrale mesure générale-puissance active totale (kW)
7 févr. 2024 10:44:39 CET,"62,2"
7 févr. 2024 10:44:54 CET,"58,8"
7 févr. 2024 10:45:16 CET,"60,7"
7 févr. 2024 10:45:24 CET,"63,0"
7 févr. 2024 10:45:39 CET,"67,4"
7 févr. 2024 10:45:54 CET,"63,4"
7 févr. 2024 10:46:09 CET,"63,6"
7 févr. 2024 10:46:25 CET,"69,2"
7 févr. 2024 10:46:40 CET,"68,0"
7 févr. 2024 10:46:55 CET,"66,6"
7 févr. 2024 10:47:10 CET,"61,4"
7 févr. 2024 10:47:25 CET,"60,2"
7 févr. 2024 10:47:40 CET,"66,2"
7 févr. 2024 10:47:55 CET,"67,1"
7 févr. 2024 10:48:10 CET,"61,9"
7 févr. 2024 10:48:25 CET,"63,3"
7 févr. 2024 10:48:40 CET,"67,3"
7 févr. 2024 10:48:55 CET,"64,8"
7 févr. 2024 10:49:10 CET,"61,3"
7 févr. 2024 10:49:25 CET,"60,5"
7 févr. 2024 10:49:40 CET,"63,1"
7 févr. 2024 10:49:55 CET,"65,7"
7 févr. 2024 10:50:11 CET,"67,0"
7 févr. 2024 10:50:26 CET,"64,2"
7 févr. 2024 10:50:41 CET,"65,8"
7 févr. 2024 10:50:56 CET,"67,5"
7 févr. 2024 10:51:11 CET,"69,7"
7 févr. 2024 10:51:26 CET,"65,3"
7 févr. 2024 10:51:41 CET,"65,6"
7 févr. 2024 10:51:56 CET,"68,8"
7 févr. 2024 10:52:11 CET,"64,9"
7 févr. 2024 10:52:26 CET,"57,6"
7 févr. 2024 10:52:41 CET,"56,5"
7 févr. 2024 10:52:56 CET,"60,6"
7 févr. 2024 10:53:11 CET,"60,9"
7 févr. 2024 10:53:26 CET,"59,7"
7 févr. 2024 10:53:41 CET,"55,3"
7 févr. 2024 10:53:57 CET,"56,3"
7 févr. 2024 10:54:12 CET,"61,0"
7 févr. 2024 10:54:27 CET,"60,7"
7 févr. 2024 10:54:42 CET,"55,1"
7 févr. 2024 10:54:57 CET,"54,5"
7 févr. 2024 10:55:12 CET,"56,0"
7 févr. 2024 10:55:27 CET,"56,2"
7 févr. 2024 10:55:42 CET,"52,6"
7 févr. 2024 10:55:57 CET,"53,6"
7 févr. 2024 10:56:12 CET,"56,7"
7 févr. 2024 10:56:27 CET,"56,3"
7 févr. 2024 10:56:42 CET,"52,5"
7 févr. 2024 10:56:57 CET,"51,4"
7 févr. 2024 10:57:12 CET,"52,2"
7 févr. 2024 10:57:27 CET,"56,3"
7 févr. 2024 10:57:43 CET,"58,4"
7 févr. 2024 10:57:59 CET,"57,8"
7 févr. 2024 10:58:14 CET,"53,9"
7 févr. 2024 10:58:29 CET,"55,7"
7 févr. 2024 10:58:44 CET,"56,4"
7 févr. 2024 10:58:59 CET,"55,2"
7 févr. 2024 10:59:14 CET,"50,6"
7 févr. 2024 10:59:29 CET,"51,0"
7 févr. 2024 10:59:44 CET,"55,8"
7 févr. 2024 10:59:59 CET,"56,0"
7 févr. 2024 11:00:16 CET,"51,6"
7 févr. 2024 11:00:29 CET,"50,9"
7 févr. 2024 11:00:44 CET,"51,9"
7 févr. 2024 11:01:00 CET,"54,0"
7 févr. 2024 11:01:15 CET,"56,0"
7 févr. 2024 11:01:30 CET,"56,1"
7 févr. 2024 11:01:45 CET,"55,3"
7 févr. 2024 11:02:00 CET,"60,0"
7 févr. 2024 11:02:15 CET,"61,7"
7 févr. 2024 11:02:30 CET,"58,2"
7 févr. 2024 11:02:45 CET,"54,6"
7 févr. 2024 11:03:00 CET,"59,7"
7 févr. 2024 11:03:15 CET,"58,0"
7 févr. 2024 11:03:30 CET,"58,4"
7 févr. 2024 11:03:45 CET,"60,8"
7 févr. 2024 11:04:00 CET,"63,1"
7 févr. 2024 11:04:15 CET,"63,6"
7 févr. 2024 11:04:30 CET,"65,3"
7 févr. 2024 11:04:46 CET,"62,3"
7 févr. 2024 11:05:01 CET,"57,8"
7 févr. 2024 11:05:16 CET,"64,2"
7 févr. 2024 11:05:46 CET,"62,1"
7 févr. 2024 11:06:01 CET,"60,8"
7 févr. 2024 11:06:16 CET,"63,9"
7 févr. 2024 11:06:31 CET,"66,0"
7 févr. 2024 11:06:46 CET,"65,5"
7 févr. 2024 11:07:01 CET,"60,1"
7 févr. 2024 11:07:16 CET,"61,6"
7 févr. 2024 11:07:31 CET,"66,0"
7 févr. 2024 11:07:46 CET,"64,4"
7 févr. 2024 11:08:01 CET,"63,8"
7 févr. 2024 11:08:17 CET,"64,2"
7 févr. 2024 11:08:32 CET,"65,6"
7 févr. 2024 11:08:47 CET,"64,9"
7 févr. 2024 11:09:02 CET,"61,1"
7 févr. 2024 11:09:17 CET,"58,3"
7 févr. 2024 11:09:32 CET,"61,8"
7 févr. 2024 11:09:47 CET,"65,0"
7 févr. 2024 11:10:02 CET,"62,1"
7 févr. 2024 11:10:17 CET,"60,2"
7 févr. 2024 11:10:32 CET,"64,4"
7 févr. 2024 11:10:47 CET,"67,3"
7 févr. 2024 11:11:02 CET,"63,1"
7 févr. 2024 11:11:17 CET,"57,3"
7 févr. 2024 11:11:32 CET,"60,3"
7 févr. 2024 11:11:47 CET,"63,7"
7 févr. 2024 11:12:03 CET,"62,3"
7 févr. 2024 11:12:18 CET,"59,7"
7 févr. 2024 11:12:33 CET,"58,4"
7 févr. 2024 11:12:48 CET,"60,3"
7 févr. 2024 11:13:03 CET,"62,1"
7 févr. 2024 11:13:18 CET,"58,9"
7 févr. 2024 11:13:33 CET,"57,2"
7 févr. 2024 11:13:48 CET,"60,9"
7 févr. 2024 11:14:03 CET,"63,2"
7 févr. 2024 11:14:18 CET,"61,3"
7 févr. 2024 11:14:33 CET,"58,6"
7 févr. 2024 11:14:48 CET,"59,7"
7 févr. 2024 11:15:16 CET,"64,9"
7 févr. 2024 11:15:19 CET,"62,0"
7 févr. 2024 11:15:34 CET,"64,2"
7 févr. 2024 11:15:49 CET,"60,5"
7 févr. 2024 11:16:04 CET,"64,1"
7 févr. 2024 11:16:19 CET,"65,6"
7 févr. 2024 11:16:34 CET,"65,0"
7 févr. 2024 11:16:49 CET,"62,6"
7 févr. 2024 11:17:04 CET,"64,5"
7 févr. 2024 11:17:19 CET,"65,7"
7 févr. 2024 11:17:34 CET,"63,0"
7 févr. 2024 11:17:49 CET,"61,5"
7 févr. 2024 11:18:04 CET,"61,0"
7 févr. 2024 11:18:20 CET,"64,2"
7 févr. 2024 11:18:35 CET,"63,6"
7 févr. 2024 11:19:05 CET,"59,7"
7 févr. 2024 11:19:20 CET,"60,5"
7 févr. 2024 11:19:35 CET,"61,9"
7 févr. 2024 11:19:50 CET,"60,5"
7 févr. 2024 11:20:05 CET,"57,5"
7 févr. 2024 11:20:20 CET,"57,3"
7 févr. 2024 11:20:35 CET,"61,9"
7 févr. 2024 11:20:50 CET,"61,2"
7 févr. 2024 11:21:05 CET,"56,5"
7 févr. 2024 11:21:20 CET,"54,6"
7 févr. 2024 11:21:35 CET,"59,3"
7 févr. 2024 11:21:51 CET,"64,5"
7 févr. 2024 11:22:06 CET,"61,4"
7 févr. 2024 11:22:21 CET,"61,8"
7 févr. 2024 11:22:36 CET,"62,9"
7 févr. 2024 11:22:51 CET,"66,2"
7 févr. 2024 11:23:06 CET,"67,3"
7 févr. 2024 11:23:21 CET,"62,4"
7 févr. 2024 11:23:36 CET,"61,7"
7 févr. 2024 11:23:51 CET,"63,4"
7 févr. 2024 11:24:06 CET,"65,6"
7 févr. 2024 11:24:21 CET,"60,6"
7 févr. 2024 11:24:36 CET,"61,0"
7 févr. 2024 11:24:51 CET,"64,9"
7 févr. 2024 11:25:06 CET,"64,8"
7 févr. 2024 11:25:22 CET,"60,2"
7 févr. 2024 11:25:37 CET,"61,8"
7 févr. 2024 11:25:52 CET,"66,5"
7 févr. 2024 11:26:07 CET,"63,9"
7 févr. 2024 11:26:22 CET,"60,8"
7 févr. 2024 11:26:37 CET,"63,1"
7 févr. 2024 11:26:52 CET,"60,3"
7 févr. 2024 11:27:07 CET,"64,1"
7 févr. 2024 11:27:22 CET,"63,9"
7 févr. 2024 11:27:37 CET,"61,9"
7 févr. 2024 11:27:52 CET,"63,1"
7 févr. 2024 11:28:07 CET,"61,1"
7 févr. 2024 11:28:22 CET,"60,8"
7 févr. 2024 11:28:37 CET,"62,7"
7 févr. 2024 11:28:52 CET,"63,5"
7 févr. 2024 11:29:08 CET,"61,9"
7 févr. 2024 11:29:23 CET,"63,3"
7 févr. 2024 11:29:38 CET,"63,7"
7 févr. 2024 11:29:53 CET,"55,7"
7 févr. 2024 11:30:16 CET,"57,0"
7 févr. 2024 11:30:23 CET,"59,8"
7 févr. 2024 11:30:38 CET,"59,5"
7 févr. 2024 11:30:53 CET,"55,3"
7 févr. 2024 11:31:08 CET,"56,2"
7 févr. 2024 11:31:23 CET,"58,3"
7 févr. 2024 11:31:38 CET,"58,2"
7 févr. 2024 11:31:53 CET,"53,9"
7 févr. 2024 11:32:08 CET,"55,7"
7 févr. 2024 11:32:24 CET,"53,7"
7 févr. 2024 11:32:39 CET,"58,6"
7 févr. 2024 11:33:09 CET,"52,6"
7 févr. 2024 11:33:39 CET,"57,5"
7 févr. 2024 11:33:54 CET,"58,0"
7 févr. 2024 11:34:09 CET,"53,6"
7 févr. 2024 11:34:24 CET,"52,7"
7 févr. 2024 11:34:39 CET,"57,0"
7 févr. 2024 11:34:54 CET,"60,7"
7 févr. 2024 11:35:09 CET,"56,4"
7 févr. 2024 11:35:25 CET,"56,2"
7 févr. 2024 11:35:40 CET,"52,6"
7 févr. 2024 11:35:55 CET,"57,3"
7 févr. 2024 11:36:10 CET,"57,0"
7 févr. 2024 11:36:25 CET,"49,8"
7 févr. 2024 11:36:40 CET,"53,6"
7 févr. 2024 11:36:55 CET,"52,8"
7 févr. 2024 11:37:10 CET,"53,1"
7 févr. 2024 11:37:25 CET,"49,0"
7 févr. 2024 11:37:40 CET,"49,2"
7 févr. 2024 11:37:55 CET,"53,6"
7 févr. 2024 11:38:10 CET,"54,3"
7 févr. 2024 11:38:25 CET,"49,7"
7 févr. 2024 11:38:40 CET,"49,1"
7 févr. 2024 11:38:55 CET,"52,2"
7 févr. 2024 11:39:11 CET,"53,1"
7 févr. 2024 11:39:41 CET,"50,0"
7 févr. 2024 11:39:56 CET,"48,9"
7 févr. 2024 11:40:11 CET,"52,4"
7 févr. 2024 11:40:26 CET,"53,3"
7 févr. 2024 11:40:41 CET,"50,8"
7 févr. 2024 11:40:56 CET,"49,9"
7 févr. 2024 11:41:11 CET,"53,9"
7 févr. 2024 11:41:26 CET,"56,5"
7 févr. 2024 11:41:41 CET,"53,5"
7 févr. 2024 11:41:56 CET,"52,9"
7 févr. 2024 11:42:11 CET,"55,5"
7 févr. 2024 11:42:26 CET,"57,0"
7 févr. 2024 11:42:42 CET,"52,4"
7 févr. 2024 11:42:57 CET,"51,2"
7 févr. 2024 11:43:12 CET,"53,0"
7 févr. 2024 11:43:27 CET,"51,1"
7 févr. 2024 11:43:42 CET,"55,6"
7 févr. 2024 11:43:57 CET,"54,5"
7 févr. 2024 11:44:12 CET,"51,6"
7 févr. 2024 11:44:27 CET,"53,5"
7 févr. 2024 11:44:42 CET,"56,2"
7 févr. 2024 11:44:57 CET,"54,1"
7 févr. 2024 11:45:17 CET,"51,3"
7 févr. 2024 11:45:27 CET,"52,2"
7 févr. 2024 11:45:42 CET,"55,3"
7 févr. 2024 11:45:57 CET,"53,8"
7 févr. 2024 11:46:12 CET,"48,9"
7 févr. 2024 11:46:28 CET,"50,1"
7 févr. 2024 11:46:43 CET,"53,3"
7 févr. 2024 11:46:58 CET,"52,3"
7 févr. 2024 11:47:13 CET,"48,9"
7 févr. 2024 11:47:28 CET,"50,2"
7 févr. 2024 11:47:43 CET,"54,2"
7 févr. 2024 11:47:58 CET,"53,8"
7 févr. 2024 11:48:13 CET,"51,9"
7 févr. 2024 11:48:28 CET,"48,6"
7 févr. 2024 11:48:43 CET,"49,3"
7 févr. 2024 11:48:58 CET,"52,4"
7 févr. 2024 11:49:13 CET,"50,0"
7 févr. 2024 11:49:28 CET,"45,9"
7 févr. 2024 11:49:43 CET,"46,7"
7 févr. 2024 11:49:59 CET,"50,4"
7 févr. 2024 11:50:14 CET,"48,8"
7 févr. 2024 11:50:29 CET,"46,3"
7 févr. 2024 11:50:59 CET,"50,4"
7 févr. 2024 11:51:14 CET,"49,2"
7 févr. 2024 11:51:44 CET,"46,5"
7 févr. 2024 11:51:59 CET,"45,6"
7 févr. 2024 11:52:14 CET,"51,3"
7 févr. 2024 11:52:29 CET,"49,4"
7 févr. 2024 11:52:44 CET,"46,1"
7 févr. 2024 11:52:59 CET,"46,5"
7 févr. 2024 11:53:14 CET,"51,0"
7 févr. 2024 11:53:30 CET,"49,3"
7 févr. 2024 11:53:45 CET,"48,2"
7 févr. 2024 11:54:00 CET,"49,1"
7 févr. 2024 11:54:15 CET,"53,3"
7 févr. 2024 11:54:30 CET,"51,8"
7 févr. 2024 11:54:45 CET,"52,4"
7 févr. 2024 11:55:00 CET,"48,6"
7 févr. 2024 11:55:15 CET,"45,4"
7 févr. 2024 11:55:30 CET,"49,8"
7 févr. 2024 11:55:45 CET,"49,5"
7 févr. 2024 11:56:00 CET,"46,0"
7 févr. 2024 11:56:30 CET,"47,3"
7 févr. 2024 11:56:45 CET,"49,1"
7 févr. 2024 11:57:00 CET,"45,4"
7 févr. 2024 11:57:16 CET,"44,8"
7 févr. 2024 11:57:31 CET,"45,2"
7 févr. 2024 11:57:46 CET,"44,3"
7 févr. 2024 11:58:01 CET,"45,3"
7 févr. 2024 11:58:16 CET,"45,0"
7 févr. 2024 11:58:31 CET,"44,5"
7 févr. 2024 11:58:46 CET,"42,6"
7 févr. 2024 11:59:01 CET,"43,4"
7 févr. 2024 11:59:16 CET,"42,9"
7 févr. 2024 11:59:31 CET,"44,7"
7 févr. 2024 11:59:47 CET,"43,7"
7 févr. 2024 12:00:17 CET,"45,6"
7 févr. 2024 12:00:32 CET,"46,1"
7 févr. 2024 12:00:47 CET,"47,3"
7 févr. 2024 12:01:02 CET,"47,8"
7 févr. 2024 12:01:17 CET,"45,3"
7 févr. 2024 12:01:32 CET,"44,8"
7 févr. 2024 12:01:47 CET,"46,0"
7 févr. 2024 12:02:02 CET,"45,7"
7 févr. 2024 12:02:17 CET,"45,0"
7 févr. 2024 12:03:33 CET,"45,8"
7 févr. 2024 12:03:48 CET,"45,6"
7 févr. 2024 12:04:03 CET,"44,9"
7 févr. 2024 12:04:18 CET,"43,2"
7 févr. 2024 12:04:33 CET,"44,0"
7 févr. 2024 12:04:48 CET,"43,6"
7 févr. 2024 12:05:18 CET,"42,7"
7 févr. 2024 12:05:33 CET,"43,0"
7 févr. 2024 12:05:48 CET,"43,2"
7 févr. 2024 12:06:03 CET,"43,8"
7 févr. 2024 12:06:19 CET,"45,7"
7 févr. 2024 12:06:49 CET,"45,8"
7 févr. 2024 12:07:04 CET,"45,4"
7 févr. 2024 12:07:19 CET,"45,7"
7 févr. 2024 12:07:34 CET,"46,0"
7 févr. 2024 12:07:49 CET,"42,8"
7 févr. 2024 12:08:04 CET,"42,9"
7 févr. 2024 12:08:19 CET,"42,0"
7 févr. 2024 12:08:34 CET,"42,3"
7 févr. 2024 12:08:49 CET,"43,0"
7 févr. 2024 12:09:04 CET,"42,4"
7 févr. 2024 12:09:19 CET,"42,0"
7 févr. 2024 12:09:34 CET,"42,5"
7 févr. 2024 12:10:05 CET,"42,0"
7 févr. 2024 12:10:20 CET,"42,2"
7 févr. 2024 12:10:35 CET,"43,2"
7 févr. 2024 12:10:50 CET,"42,7"
7 févr. 2024 12:11:05 CET,"43,1"
7 févr. 2024 12:11:20 CET,"42,8"
7 févr. 2024 12:11:35 CET,"43,3"
7 févr. 2024 12:11:50 CET,"43,4"
7 févr. 2024 12:12:05 CET,"42,9"
7 févr. 2024 12:12:20 CET,"42,3"
7 févr. 2024 12:12:35 CET,"45,4"
7 févr. 2024 12:12:50 CET,"45,2"
7 févr. 2024 12:13:05 CET,"45,1"
7 févr. 2024 12:13:20 CET,"44,1"
7 févr. 2024 12:13:36 CET,"44,6"
7 févr. 2024 12:13:51 CET,"44,1"
7 févr. 2024 12:14:06 CET,"42,4"
7 févr. 2024 12:14:21 CET,"42,9"
7 févr. 2024 12:14:36 CET,"42,5"
7 févr. 2024 12:14:51 CET,"42,7"
7 févr. 2024 12:15:17 CET,"42,5"
7 févr. 2024 12:15:21 CET,"41,8"
7 févr. 2024 12:15:36 CET,"42,7"
7 févr. 2024 12:15:51 CET,"42,0"
7 févr. 2024 12:16:06 CET,"42,3"
7 févr. 2024 12:16:21 CET,"42,5"
7 févr. 2024 12:16:37 CET,"43,2"
7 févr. 2024 12:16:52 CET,"42,3"
7 févr. 2024 12:17:07 CET,"41,8"
7 févr. 2024 12:17:22 CET,"42,3"
7 févr. 2024 12:17:37 CET,"43,9"
7 févr. 2024 12:17:52 CET,"43,2"
7 févr. 2024 12:18:07 CET,"42,3"
7 févr. 2024 12:18:22 CET,"41,8"
7 févr. 2024 12:18:52 CET,"45,3"
7 févr. 2024 12:19:07 CET,"46,0"
7 févr. 2024 12:19:22 CET,"45,0"
7 févr. 2024 12:19:52 CET,"45,7"
7 févr. 2024 12:20:08 CET,"44,9"
7 févr. 2024 12:20:23 CET,"43,7"
7 févr. 2024 12:20:38 CET,"44,1"
7 févr. 2024 12:21:08 CET,"42,8"
7 févr. 2024 12:21:23 CET,"43,8"
7 févr. 2024 12:21:38 CET,"43,2"
7 févr. 2024 12:21:53 CET,"44,6"
7 févr. 2024 12:22:08 CET,"42,5"
7 févr. 2024 12:22:23 CET,"43,1"
7 févr. 2024 12:22:38 CET,"42,8"
7 févr. 2024 12:22:53 CET,"43,2"
7 févr. 2024 12:23:08 CET,"41,5"
7 févr. 2024 12:23:23 CET,"41,8"
7 févr. 2024 12:23:38 CET,"41,7"
7 févr. 2024 12:23:53 CET,"43,1"
7 févr. 2024 12:24:08 CET,"42,4"
7 févr. 2024 12:24:39 CET,"41,7"
7 févr. 2024 12:24:54 CET,"42,2"
7 févr. 2024 12:25:09 CET,"44,6"
7 févr. 2024 12:25:24 CET,"44,8"
7 févr. 2024 12:25:39 CET,"44,0"
7 févr. 2024 12:25:54 CET,"45,0"
7 févr. 2024 12:26:09 CET,"47,1"
7 févr. 2024 12:26:25 CET,"43,3"
7 févr. 2024 12:26:40 CET,"44,2"
7 févr. 2024 12:26:55 CET,"45,7"
7 févr. 2024 12:27:10 CET,"46,2"
7 févr. 2024 12:27:25 CET,"44,9"
7 févr. 2024 12:27:40 CET,"45,1"
7 févr. 2024 12:27:55 CET,"46,8"
7 févr. 2024 12:28:25 CET,"45,1"
7 févr. 2024 12:28:40 CET,"45,7"
7 févr. 2024 12:28:56 CET,"45,9"
7 févr. 2024 12:29:11 CET,"46,7"
7 févr. 2024 12:29:26 CET,"46,8"
7 févr. 2024 12:29:41 CET,"45,3"
7 févr. 2024 12:30:11 CET,"46,9"
7 févr. 2024 12:30:26 CET,"45,4"
7 févr. 2024 12:30:56 CET,"44,2"
7 févr. 2024 12:31:11 CET,"46,6"
7 févr. 2024 12:31:26 CET,"46,0"
7 févr. 2024 12:31:41 CET,"46,2"
7 févr. 2024 12:31:57 CET,"47,3"
7 févr. 2024 12:32:12 CET,"47,2"
7 févr. 2024 12:32:27 CET,"46,3"
7 févr. 2024 12:32:42 CET,"42,8"
7 févr. 2024 12:32:57 CET,"44,1"
7 févr. 2024 12:33:12 CET,"44,7"
7 févr. 2024 12:33:27 CET,"42,6"
7 févr. 2024 12:33:42 CET,"42,5"
7 févr. 2024 12:33:57 CET,"43,5"
7 févr. 2024 12:34:12 CET,"42,7"
7 févr. 2024 12:34:42 CET,"43,3"
7 févr. 2024 12:34:57 CET,"44,4"
7 févr. 2024 12:35:12 CET,"43,8"
7 févr. 2024 12:35:27 CET,"44,1"
7 févr. 2024 12:35:58 CET,"46,4"
7 févr. 2024 12:36:13 CET,"44,7"
7 févr. 2024 12:36:28 CET,"45,0"
7 févr. 2024 12:36:43 CET,"43,8"
7 févr. 2024 12:36:58 CET,"42,4"
7 févr. 2024 12:37:13 CET,"44,6"
7 févr. 2024 12:37:28 CET,"44,1"
7 févr. 2024 12:37:43 CET,"43,4"
7 févr. 2024 12:37:58 CET,"47,0"
7 févr. 2024 12:38:13 CET,"46,2"
7 févr. 2024 12:38:28 CET,"47,1"
7 févr. 2024 12:38:43 CET,"45,2"
7 févr. 2024 12:38:58 CET,"46,2"
7 févr. 2024 12:39:13 CET,"46,0"
7 févr. 2024 12:39:29 CET,"42,2"
7 févr. 2024 12:39:44 CET,"44,4"
7 févr. 2024 12:40:14 CET,"43,3"
7 févr. 2024 12:40:29 CET,"42,4"
7 févr. 2024 12:40:44 CET,"43,3"
7 févr. 2024 12:40:59 CET,"44,2"
7 févr. 2024 12:41:14 CET,"42,9"
7 févr. 2024 12:41:29 CET,"42,2"
7 févr. 2024 12:41:44 CET,"42,3"
7 févr. 2024 12:41:59 CET,"42,7"
7 févr. 2024 12:42:14 CET,"43,1"
7 févr. 2024 12:42:29 CET,"42,9"
7 févr. 2024 12:42:45 CET,"43,4"
7 févr. 2024 12:43:00 CET,"44,3"
7 févr. 2024 12:43:15 CET,"43,2"
7 févr. 2024 12:43:30 CET,"42,7"
7 févr. 2024 12:43:45 CET,"42,4"
7 févr. 2024 12:44:00 CET,"42,1"
7 févr. 2024 12:44:15 CET,"41,6"
7 févr. 2024 12:44:30 CET,"44,5"
7 févr. 2024 12:44:45 CET,"44,1"
7 févr. 2024 12:45:16 CET,"44,8"
7 févr. 2024 12:45:30 CET,"43,4"
7 févr. 2024 12:45:46 CET,"43,9"
7 févr. 2024 12:46:01 CET,"44,9"
7 févr. 2024 12:46:16 CET,"41,6"
7 févr. 2024 12:46:31 CET,"41,0"
7 févr. 2024 12:46:46 CET,"41,5"
7 févr. 2024 12:47:01 CET,"42,5"
7 févr. 2024 12:47:16 CET,"42,2"
7 févr. 2024 12:47:31 CET,"42,6"
7 févr. 2024 12:47:46 CET,"42,1"
7 févr. 2024 12:48:01 CET,"41,9"
7 févr. 2024 12:48:16 CET,"42,0"
7 févr. 2024 12:48:31 CET,"41,7"
7 févr. 2024 12:48:47 CET,"41,4"
7 févr. 2024 12:49:02 CET,"41,8"
7 févr. 2024 12:49:17 CET,"42,8"
7 févr. 2024 12:49:32 CET,"41,7"
7 févr. 2024 12:49:47 CET,"41,9"
7 févr. 2024 12:50:02 CET,"42,9"
7 févr. 2024 12:50:17 CET,"42,6"
7 févr. 2024 12:50:32 CET,"42,5"
7 févr. 2024 12:50:47 CET,"43,6"
7 févr. 2024 12:51:02 CET,"44,0"
7 févr. 2024 12:51:17 CET,"44,3"
7 févr. 2024 12:51:32 CET,"44,1"
7 févr. 2024 12:51:47 CET,"46,0"
7 févr. 2024 12:52:03 CET,"46,9"
7 févr. 2024 12:52:18 CET,"43,8"
7 févr. 2024 12:52:33 CET,"44,0"
7 févr. 2024 12:52:48 CET,"43,4"
7 févr. 2024 12:53:03 CET,"44,3"
7 févr. 2024 12:53:18 CET,"43,6"
7 févr. 2024 12:53:33 CET,"45,1"
7 févr. 2024 12:53:48 CET,"44,0"
7 févr. 2024 12:54:03 CET,"44,6"
7 févr. 2024 12:54:18 CET,"44,7"
7 févr. 2024 12:54:33 CET,"44,8"
7 févr. 2024 12:54:48 CET,"42,1"
7 févr. 2024 12:55:03 CET,"43,3"
7 févr. 2024 12:55:18 CET,"43,2"
7 févr. 2024 12:55:33 CET,"43,4"
7 févr. 2024 12:55:49 CET,"42,1"
7 févr. 2024 12:56:04 CET,"43,0"
7 févr. 2024 12:56:19 CET,"43,4"
7 févr. 2024 12:56:34 CET,"43,0"
7 févr. 2024 12:56:49 CET,"45,6"
7 févr. 2024 12:57:04 CET,"45,9"
7 févr. 2024 12:57:19 CET,"46,6"
